id_indicator,id_parent_indicator,slug,name,id_dimension,id_granularity,explanation,potential_use,assumptions,desired_value,function_name,formalization_latex,formalization_fp,description_fp
47,,case-percentage-with-missed-deadline-group-of-cases-granularity-t-g,Case Percentage with Missed Deadline (group of cases granularity),5,3,Percentage of cases belonging to a group of cases whose latest event occurs after a given deadline.,Event log is associated with a process in which cases should be completed before a defined deadline.,Exceeding the deadline of interest is undesired.,minimize,"\(\mathit{CMDP(g, \mathit{val)\)",\(\frac{|\{c \in g \mid \mathit{endt(c) > \mathit{val\}|}{\mathit{C(g)}\),"\(\displaystyle \frac{
\sum_{c \in g}
\begin{cases}
1 & \text{if } \mathit{endt(c) > \mathit{val \\
0 & \text{otherwise}
\end{cases}
}{\mathit{C(g)}\)","\(\mathit{endt(c)\) returns the completion timestamp of case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
48,,case-percentage-with-rework-group-of-cases-granularity-q-g,Case Percentage with Rework (group of cases granularity),4,3,Percentage of cases in a group of cases where there is rework.,Process where rework recurrently occurs.,Minimizing the number of cases with rework is desirable.,minimize,\(\mathit{CRewP(g)\),\(\frac{\mathit{CRewC(g)}{\mathit{C(g)}\),\(\frac{\mathit{CRewC(g)}{\mathit{C(g)}\),"\(\mathit{CRewC(g)\) returns the case count with rework in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
49,,client-count-activity-granularity-f-a,Client count (activity granularity),2,1,Number of distinct clients associated with cases where the activity is instantiated in the event log.,Process is executed for different clients.,It is desirable to maximize the number of clients.,maximize,\(\mathit{Cli(a)\),\(|\{#^{}_{\mathit{cli}(c) \mid c \in C[a \in \mathit{act(c)]\}|\),\(\mathit{count(\mathit{Cli(a))\),\(\mathit{Cli(a)\) returns the set of distinct client identifiers associated with activity $a$. \\
50,,client-count-group-of-cases-granularity-f-g,Client count (group of cases granularity),2,3,Number of distinct clients associated with cases in a group of cases.,Process is executed for different clients.,It is desirable to maximize the number of clients.,maximize,\(\mathit{Cli(g)\),\(|\{#^{}_{\mathit{cli}(c) \mid c \in g\}|\),\(\mathit{count(\mathit{Cli(g))\),\(\mathit{Cli(g)\) returns the set of distinct client identifiers associated with case group $g$. \\
51,,client-count-and-total-cost-ratio-activity-granularity-q-a,Client count and Total Cost Ratio (activity granularity),4,1,"Ratio between the number of distinct clients associated with cases where an activity is instantiated in the event log, and the total cost associated with all instantiations of an activity in the event log.",Process is executed for different clients where the event log contains cost information.,It is desirable to execute the specific activity for as many clients at the least cost.,maximize,"\(\mathit{CliTCR\mathit{^{\times(a)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{Cli(a)}{\mathit{TC\mathit{^{\times(a)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{Cli(a)}{\mathit{TC(a)}\),"\(\mathit{Cli(a)\) returns the number of distinct clients involved in activity \(a\).
\newline \(\mathit{TC(a)\) returns the total cost of activity \(a\). \\"
52,,client-count-and-total-cost-ratio-group-of-cases-granularity-q-g,Client count and Total Cost Ratio (group of cases granularity),4,3,"Ratio between the number of distinct clients associated with cases in a group of cases, and the total cost of a group of cases.",Process is executed for different clients where the event log contains cost information.,It is desirable to execute the process for as many clients at the least cost.,maximize,"\(\mathit{CliTCR\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{Cli(g)}{\mathit{TC\mathit{^{\times(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{Cli(g)}{\mathit{TC(g)}\),"\(\mathit{Cli(g)\) returns the number of distinct clients associated with group \(g\).
\newline \(\mathit{TC(g)\) returns the total cost of case group \(g\). \\"
53,,desired-activity-count-case-granularity-c-c,Desired Activity count (case granularity),1,2,Number of instantiated activities whose occurrence is desirable in a case.,Event log that contains optional activities whose occurrence is desirable.,Desirable activities should be maximized.,maximize,\(\mathit{DAC(c)\),\(| \mathit{Desl \cap \mathit{act(c)|\),\(\mathit{count( \mathit{Desl \cap \mathit{act(c))\),"\(\mathit{Desl\) returns the set of desired activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
54,,desired-activity-count-group-of-cases-granularity-c-g,Desired Activity count (group of cases granularity),1,3,Number of instantiated activities whose occurrence is desirable in a group of cases.,Event log that contains optional activities whose occurrence is desirable.,Desirable activities should be maximized.,maximize,\(\mathit{DAC(g)\),\(|\mathit{Desl \cap (\cup_{c \in g} \mathit{act(c))|\),\(\mathit{count(\mathit{Desl \cap (\cup_{c \in g} \mathit{act(c)))\),"\(\mathit{Desl\) returns the set of desired activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
55,,desired-activity-count-case-granularity-q-c,Desired Activity count (case granularity),4,2,Number of instantiated activities whose occurrence is desirable in a case.,Event log that contains optional activities whose occurrence is desirable.,Desirable activities should be maximized.,maximize,\(\mathit{DAC(c)\),\(| \mathit{Desl \cap \mathit{act(c)|\),\(\mathit{count(\mathit{Desl \cap \mathit{act(c))\),"\(\mathit{Desl\) returns the set of desired activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
56,,desired-activity-count-group-of-cases-granularity-q-g,Desired Activity count (group of cases granularity),4,3,Number of instantiated activities whose occurrence is desirable in a group of cases.,Event log that contains optional activities whose occurrence is desirable.,Desirable activities should be maximized.,maximize,\(\mathit{DAC(g)\),\(|\mathit{Desl \cap (\cup_{c \in g} \mathit{act(c))|\),\(\mathit{count(\mathit{Desl \cap (\cup_{c \in g} \mathit{act(c)))\),"\(\mathit{Desl\) returns the set of desired activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
57,,direct-cost-case-granularity-c-c,Direct Cost (case granularity),1,2,Total cost associated with all instantiations of activities that have a direct effect on the outcome of a case.,Event log in which activities can be categorized based on whether they directly contribute to the outcome of the process or not.,Minimizing total cost is desirable.,minimize,"\(\mathit{DC\mathit{^{\times(c)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{i \in \mathit{inst(c), \mathit{act(i) \in \mathit{DCl} \mathit{TC\mathit{^{\times(i)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sum$.","\(\sum _{i \in \mathit{inst(c), \mathit{act(i) \in \mathit{DCl} \mathit{TC(i)\)","\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{DCl\) returns the set of direct cost activities.
\newline \(\mathit{TC(i)\) returns the cost of activity instance \(i\). \\"
58,,direct-cost-group-of-cases-granularity-c-g,Direct Cost (group of cases granularity),1,3,Total cost associated with all instantiations of activities that have a direct effect on the outcome of cases in a group of cases.,Event log in which activities can be categorized based on whether they directly contribute to the outcome of the process or not.,Minimizing total cost is desirable.,minimize,"\(\mathit{DC\mathit{^{\times(g)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{c \in g} \mathit{DC\mathit{^{\times(c)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{DC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{DC\mathit{^{sum$.",\(\sum _{c \in g} \mathit{DC(c)\),\(\mathit{DC(c)\) returns the direct cost for case \(c\). \\
59,,directly-follows-relations-and-activity-count-ratio-case-granularity-f-c,Directly-Follows Relations and Activity count Ratio (case granularity),2,2,"Ratio between the number of activity pairs where one is instantiated directly after the other in a case, and the number of activities that occur in a case.",Process where several distinct directly-follows relations can occur.,"A greater number of directly-follows relations is desirable, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{DFRAR(c)\),\(\frac{\mathit{DFR(c)}{\mathit{A(c)}\),\(\frac{\mathit{DFR(c)}{\mathit{A(c)}\),"\(\mathit{DFR(c)\) returns the number of unique Directly-Follows Relations (DFR) in case \(c\).
\newline \(\mathit{A(c)\) returns the number of unique activities in case \(c\). \\"
60,,directly-follows-relations-and-activity-count-ratio-group-of-cases-granularity-f-g,Directly-Follows Relations and Activity count Ratio (group of cases granularity),2,3,"Ratio between the number of activity pairs where one is instantiated directly after the other in a group of cases, and the number of activities that occur in a group of cases.",Process where several distinct directly-follows relations can occur.,"A greater number of directly-follows relations is desirable, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{DFRAR(g)\),\(\frac{\mathit{DFR(g)}{\mathit{A(g)}\),\(\frac{\mathit{DFR(g)}{\mathit{A(g)}\),"\(\mathit{DFR(g)\) returns the number of unique Directly-Follows Relations (DFR) in group \(g\).
\newline \(\mathit{A(g)\) returns the number of unique activities in group \(g\). \\"
61,,directly-follows-relations-count-activity-granularity-f-a,Directly-Follows Relations count (activity granularity),2,1,Number of activities that have been instantiated directly after the activity of interest in the event log.,Process where several distinct directly-follows relations can occur.,"A greater number of directly-follows relations is desirable, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{DFR(a)\),\(\cup_{i \in \mathit{inst(a)} \{\mathit{act(i') \mid i' \in \mathit{next(i))\}|\),\(\sum_{a \in \mathit{act(a)} \mathit{dfrel(a)\),"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{dfrel(a)\) returns the set of activities that directly follow activity \(a\) in any case. \\"
62,,directly-follows-relations-count-case-granularity-f-c,Directly-Follows Relations count (case granularity),2,2,Number of activity pairs where one is instantiated directly after the other in a case.,Process where several distinct directly-follows relations can occur.,"A greater number of directly-follows relations is desirable, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{DFR(c)\),\(|\mathit{dfrel(c)|\),\(\mathit{count(\mathit{dfrel(c))\),\(\mathit{dfrel(c)\) returns the set of unique Directly-Follows Relations (DFR) in case \(c\). \\
